    1   Paupau  5   5.50    19/02/2023
    2   Doritos 10  13.00   20/07/2023
    3   Paleta   5   10.00  01/12/2023
    4   Pantuflas   20  100.00  01/12/2025
    5	Bufanda	30	149.9	01/12/2025
    6	Pijama	30	199.9	02/12/2025
    7	Playera	30	99.9	03/12/2025
    8	Sudadera	30	279.9	04/12/2025
    9	Tenis	30	229.9	05/12/2025
    10	Calcetas	30	99.9	06/12/2025
    11	Botas	30	549.9	07/12/2025
    12	Cobertor	30	399.9	08/12/2025
    13	Cojines	30	199.9	09/12/2025
    14	Conjunto_baron	30	279.9	10/12/2025
    15	Falda	30	179.9	11/12/2025
    16	Jeans	30	299.9	12/12/2025
    17	Jogger	30	229.9	13/12/2025
    18	Mameluco	30	399.9	14/12/2025
    19	Panalero	30	129.9	15/12/2025
    20	Pantalon	30	139.9	16/12/2025
    21	Varsity	30	299.9	17/12/2025
    22	Chocolates	30	31.5	18/12/2025
    23	Jugo_fresa	30	10.5	19/12/2025
    24	Jugo_naranja	30	10.5	20/12/2025
    25	Jugo_mango	30	10.5	21/12/2025
    26	Jugo_Guayaba	30	10.5	22/12/2025
    27	Agua_natural	30	8.3	23/12/2025
    28	Agua_mineral	30	11.5	24/12/2025
    29	CocaCola_600	30	17	25/12/2025
    30	Aceite	30	16	26/12/2025
    31	Aceitunas	30	18	27/12/2025
    32	Atun	30	19	28/12/2025
    33	Azucar	30	22	29/12/2025
    34	Biberones	30	30	30/12/2025
    35	Café_olla	30	32	31/12/2025
    36	Cafe_soluble	30	15	01/01/2026
    37	Cajeta	30	24	02/01/2026
    38	Cereal	30	52	03/01/2026
    39	Champinones	30	35	04/01/2026
    40	Comida_gato	30	46	05/01/2026
    41	Comida_perro	30	46	06/01/2026
    42	Crema	30	52	07/01/2026
    43	Catsup	30	46	08/01/2026
    44	Edulcorantes	30	10	09/01/2026
    45	Elote_lata	30	20	10/01/2026
    46	Frijoles	30	20	11/01/2026
    47	Huevo	30	47	12/01/2026
    48	Leche	30	21	13/01/2026
    49	Chiles_Lata	30	21	14/01/2026
    50	Leche_condensada	30	30	15/01/2026
    51	Mantequilla	30	18	16/01/2026
    52	Mayonesa	30	27	17/01/2026
    53	Mermelada	30	27	18/01/2026
    54	Miel	30	27	19/01/2026
    55	Mole	30	12	20/01/2026
    56	Mostaza	30	12	21/01/2026
    57	Papillas	30	16	22/01/2026
    58	Pasta	30	20	23/01/2026
    59	Panales	30	20	24/01/2026
    60	Polvos	30	15	25/01/2026
    61	Pure_tomate	30	23	26/01/2026
    62	Quesillo	30	80	27/01/2026
    63	Queso	30	80	28/01/2026
    64	Sal	30	15	29/01/2026
    65	Sardinas_enlatadas	30	23	30/01/2026
    66	Sopa	30	10	31/01/2026
    67	Te	30	5	01/02/2026
    68	Yogurt	30	10	02/02/2026
    69	Naranjada	30	12	03/02/2026
    70	Limonada	30	12	04/02/2026
    71	Cerveza	30	48	05/02/2026
    72	Ginebra	30	74	06/02/2026
    73	Tequila	30	69	07/02/2026
    74	Wisky	30	69	08/02/2026
    75	Bodka	30	90	09/02/2026
